"'WADB (SCGH)',NULL,'13'",,,
5,WASHS,Default WA Sleep Health Study,
11,WAMHS,Default WA Melanoma Health Study,
17,WAFSS,Western Australia Family Schizophrenia Study,
18,IRD,Default IRD Sub-Study,
22,Vitamin A,Default Vitamin A Study Sub-Study,
24,VUS,Venous Ulcer Study,
194,RAVES,Default RAVES sub-study,13
374,AAU,Default AAU sub-study,
414,WASOS,Default WASOS sub-study,
590,PMH,"PMH study - brought over from PMH Biogenix instance.  Contains T1D, T2D, Obesity consented patients.",
"'WADB (RPH)','RPH','16'",,,
5,WASHS,Default WA Sleep Health Study,16
11,WAMHS,Default WA Melanoma Health Study,
17,WAFSS,Western Australia Family Schizophrenia Study,
18,IRD,Default IRD Sub-Study,
22,Vitamin A,Default Vitamin A Study Sub-Study,
24,VUS,Venous Ulcer Study,
194,RAVES,Default RAVES sub-study,16
374,AAU,Default AAU sub-study,
414,WASOS,Default WASOS sub-study,
590,PMH,"PMH study - brought over from PMH Biogenix instance.  Contains T1D, T2D, Obesity consented patients.",
"'KEMH',NULL,'18'",,,
5,WASHS,Default WA Sleep Health Study,
11,WAMHS,Default WA Melanoma Health Study,
17,WAFSS,Western Australia Family Schizophrenia Study,
18,IRD,Default IRD Sub-Study,
22,Vitamin A,Default Vitamin A Study Sub-Study,
24,VUS,Venous Ulcer Study,
194,RAVES,Default RAVES sub-study,18
374,AAU,Default AAU sub-study,
414,WASOS,Default WASOS sub-study,
590,PMH,"PMH study - brought over from PMH Biogenix instance.  Contains T1D, T2D, Obesity consented patients.",
