date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:36	399/399	---M-Z	200	added ('OK')	text/plain	etag:%22354-5a38c43382e19-gzip%22	https://sphinx.org.au/robots.txt		(from )
14:17:36	5146/5146	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:17:36%20GMT	https://sphinx.org.au/	/home/adrianb/websites/The%20Ark/sphinx.org.au/index.html	(from )
14:17:37	2019/2019	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227e3-5e62cb1978500%22	https://sphinx.org.au/templates/protostar/favicon.ico	/home/adrianb/websites/The%20Ark/sphinx.org.au/templates/protostar/favicon.ico	(from https://sphinx.org.au/)
14:17:38	164388/164388	---M-Z	200	added ('OK')	text/css	etag:%2228224-5e62cb1978500-gzip%22	https://sphinx.org.au/templates/protostar/css/template.css?79454ffff00e04053220fdb82f03fe7b	/home/adrianb/websites/The%20Ark/sphinx.org.au/templates/protostar/css/template8374.css	(from https://sphinx.org.au/)
14:17:39	3123/3123	---M--	200	added ('OK')	application/atom+xml	date:Fri,%2003%20Mar%202023%2003:17:39%20GMT	https://sphinx.org.au/?format=feed&type=atom	/home/adrianb/websites/The%20Ark/sphinx.org.au/index7b17.html	(from https://sphinx.org.au/)
14:17:39	1786/1786	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2003:17:39%20GMT	https://sphinx.org.au/?format=feed&type=rss	/home/adrianb/websites/The%20Ark/sphinx.org.au/indexc0d0.html	(from https://sphinx.org.au/)
14:17:40	246/246	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2003:17:39%20GMT	https://fonts.googleapis.com/css?family=Open+Sans	/home/adrianb/websites/The%20Ark/fonts.googleapis.com/cssd2d5.css	(from https://sphinx.org.au/)
14:17:40	97646/97646	---M-Z	200	added ('OK')	application/javascript	etag:%2217d6e-5e62cb1978500-gzip%22	https://sphinx.org.au/media/jui/js/jquery.min.js?79454ffff00e04053220fdb82f03fe7b	/home/adrianb/websites/The%20Ark/sphinx.org.au/media/jui/js/jquery.min8374.js	(from https://sphinx.org.au/)
14:17:41	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5e62cb1978500%22	https://sphinx.org.au/media/jui/js/jquery-noconflict.js?79454ffff00e04053220fdb82f03fe7b	/home/adrianb/websites/The%20Ark/sphinx.org.au/media/jui/js/jquery-noconflict8374.js	(from https://sphinx.org.au/)
14:17:42	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5e62cb1978500-gzip%22	https://sphinx.org.au/media/jui/js/jquery-migrate.min.js?79454ffff00e04053220fdb82f03fe7b	/home/adrianb/websites/The%20Ark/sphinx.org.au/media/jui/js/jquery-migrate.min8374.js	(from https://sphinx.org.au/)
